consent_file_no,industry_name,industry_category,sector,nic_code,industrial_area,taluk,district,pin_code,latitude,longitude,pan,gstin,cin,phone,email,date_of_commissioning,valid_until
KSPCB/BNG/017/2019,Menon Engineering Private Limited,orange,Plastic products,22209,Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,12.948838,77.553092,,,,7924166648,menonengineeringpr12@rediffmail.com,2009-01-01,2018-12-30
KSPCB/BNG/018/2018,Murthy Industries Private Limited,green,Electronics / IT hardware,26200,KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,562106,12.931061,77.655706,CZECG1473P,,U26200KA2016PTC765339,7758636837,murthyindustriespr23@gmail.com,2005-01-06,2020-01-03
KSPCB/BNG/019/2021,Shetty Exports Private Limited,orange,Rubber products,22190,Whitefield,KR Puram,Bengaluru Urban,560066,12.955045,77.628594,LYXCR1956I,,,9199814949,shettyexportspriva77@rediffmail.com,2005-06-04,2015-06-02
KSPCB/BNG/020/2020,Pai Industries Limited,orange,Metal fabrication,25910,Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,,,HFUCI4657Y,29HFUCI4657Y1Z5,,9185318762,paiindustrieslimit21@outlook.com,2008-03-30,2018-03-28
KSPCB/BNG/021/2019,Sharma Enterprises Private Limited,green,Textile / garment,13111,Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,12.921018,77.786131,GMWCK6164G,29GMWCK6164G1Z5,,7798750072,,2022-09-09,2037-09-05
KSPCB/BNG/022/2022,Nair Foods & Co,green,Paper / packaging,17010,Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,12.937025,77.790916,,29DMNFI7488L1Z5,,6888364188,nairfoodsco18@yahoo.com,2021-12-28,2036-12-24
KSPCB/BNG/023/2019,Verma Corp & Co,green,Electrical equipment,27900,Rajajinagar,Bangalore North,Bengaluru Urban,560010,,,,,,8026424848,vermacorpco16@company.in,2015-12-15,2030-12-11
KSPCB/BNG/024/2019,Subramanian Systems Private Limited,orange,Plastic products,22209,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,13.013037,77.669697,MYHCX8577X,,U22209KA2021PTC567755,9850161712,subramaniansystems8@rediffmail.com,2013-10-13,2023-10-11
KSPCB/BNG/025/2021,Joshi Industries Limited,orange,Plastic products,22209,Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,,,FYMCD0817V,29FYMCD0817V1Z5,,6352983840,,2022-12-20,2032-12-17
KSPCB/BNG/026/2019,Joshi Industries Limited Unit-II,orange,Plastic products,22209,Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,12.861674,77.731499,FYMCD0817V,29FYMCD0817V2Z8,U22209KA2022PTC562626,6714300755,joshiindustrieslim34@company.in,2023-02-16,2033-02-13
KSPCB/BNG/027/2019,Iyer Enterprises LLP,green,Paper / packaging,17010,Jigani Industrial Area,Anekal,Bengaluru Urban,562106,12.930837,77.736044,,,,8843351688,iyerenterprisesllp69@yahoo.com,2018-03-01,2033-02-25
KSPCB/BNG/028/2022,Desai Systems Private Limited,orange,Food processing,10101,Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,12.835499,77.492139,KSBCQ1786D,,,9645642151,desaisystemsprivat74@yahoo.com,2016-01-07,2026-01-04
KSPCB/BNG/029/2021,Naidu Exports LLP,green,Electronics / IT hardware,26200,KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,562106,12.927068,77.546258,QVSFT9285M,,,,naiduexportsllp27@company.in,2006-11-16,2021-11-12
KSPCB/BNG/030/2020,Joshi Systems & Co,orange,Food processing,10101,Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,13.062834,77.725259,IMIFJ2258O,,,9957794450,joshisystemsco9@company.in,2006-10-04,2016-10-01
KSPCB/BNG/031/2023,Chandra Industries Private Limited,orange,Plastic products,22209,Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,,,CFRCP4547I,29CFRCP4547I1Z5,,7313812293,chandraindustriesp55@yahoo.com,2006-04-08,2016-04-05
KSPCB/BNG/032/2019,Shetty Works Private Limited,green,Textile / garment,13111,Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,13.010209,77.432026,THPCP9823H,,,6085037021,,1999-04-13,2014-04-09
KSPCB/BNG/033/2018,Kamath Solutions & Co,green,Electrical equipment,27900,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,12.874689,77.708490,,,,6170623991,,2016-12-15,2031-12-12
KSPCB/BNG/034/2018,Subramanian Plastics Private Limited,orange,Plastic products,22209,Rajajinagar,Bangalore North,Bengaluru Urban,560010,13.023833,77.706513,JXHCL5090T,29JXHCL5090T1Z5,U22209KA2022PTC316595,9741755655,,2000-12-28,2010-12-26
KSPCB/BNG/035/2018,Krishnan Enterprises Private Limited,red,Pharmaceutical manufacturing,21001,Whitefield,KR Puram,Bengaluru Urban,560066,,,GSSCR9766Y,,,6713886492,,2018-09-01,2023-08-31
KSPCB/BNG/036/2023,Krishnan Foods Private Limited,orange,Metal fabrication,25910,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,12.870861,77.791298,,,,6688805218,,2020-07-01,2030-06-29
KSPCB/BNG/037/2021,Kumar Plastics & Co,green,Electrical equipment,27900,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,,,QXEFQ4033R,29QXEFQ4033R1Z5,,,,2020-11-08,2035-11-05
KSPCB/BNG/038/2019,Murthy Agencies Private Limited,orange,Rubber products,22190,Peenya Industrial Area Phase 2,Yeshwanthpur,Bengaluru Urban,560058,12.853226,77.582135,ZKNCR5413T,29ZKNCR5413T1Z5,,6023304521,,2007-06-28,2017-06-25
KSPCB/BNG/039/2020,Chandra Corp LLP,green,Paper / packaging,17010,Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,,,,,,7535877304,chandracorpllp31@rediffmail.com,2020-11-22,2035-11-19
KSPCB/BNG/040/2018,Joshi Plastics & Co,green,Textile / garment,13111,Peenya Industrial Area Phase 3,Yeshwanthpur,Bengaluru Urban,560058,,,TDBFW3720S,,,,joshiplasticsco89@company.in,2014-01-14,2029-01-10
KSPCB/BNG/041/2018,Shetty Corp Private Limited,orange,Rubber products,22190,KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,562106,,,OGUCT7836V,,U22190KA2005PTC764264,8997995658,,2003-02-28,2013-02-25
KSPCB/BNG/042/2021,Patel Fabricators Private Limited,red,Chemical manufacturing,20119,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,,,WZBCG6303R,,,9825453957,patelfabricatorspr62@gmail.com,2021-07-03,2026-07-02
KSPCB/BNG/043/2019,Pillai Tech Limited,green,Printing and publishing,18101,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,,,RXMCO0992Z,29RXMCO0992Z1Z5,U18101KA2018PLC724627,6044499263,pillaitechlimited68@company.in,2005-06-21,2020-06-17
KSPCB/BNG/044/2018,Menon Enterprises Private Limited,green,Electrical equipment,27900,Electronic City Phase 1,Anekal,Bengaluru Urban,560100,,,RFLCJ9396B,29RFLCJ9396B1Z5,U27900KA2021PTC054784,9912604378,,2001-08-19,2016-08-15
KSPCB/BNG/045/2023,Reddy Manufacturing Private Limited,green,Electronics / IT hardware,26200,Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,12.867631,77.541085,TNTCU5159B,29TNTCU5159B1Z5,,9203451765,reddymanufacturing80@rediffmail.com,2008-01-04,2022-12-31
KSPCB/BNG/046/2020,Reddy Solutions Limited,orange,Plastic products,22209,Rajajinagar,Bangalore North,Bengaluru Urban,560010,12.919267,77.686386,PJPCR2183T,,U22209KA2007PLC934650,8033452874,reddysolutionslimi21@company.in,2023-05-26,2033-05-23
KSPCB/BNG/047/2023,Murthy Exports LLP,orange,Auto components,29300,Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,12.825823,77.483114,AWOFD6072K,,,,murthyexportsllp43@gmail.com,2022-02-23,2032-02-21
KSPCB/BNG/048/2023,Acharya Traders LLP,green,Electrical equipment,27900,Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,,,,,,8026016751,acharyatradersllp41@rediffmail.com,2013-03-09,2028-03-05
